Customer_Age,Customer_Female,Customer_Male
19,0,1
35,0,1
26,1,0
27,1,0
19,0,1
27,0,1
27,1,0
32,1,0
25,0,1
35,1,0
26,1,0
26,1,0
20,0,1
32,0,1
18,0,1
29,0,1
47,0,1
45,0,1
46,0,1
48,1,0
45,0,1
47,1,0
48,0,1
45,1,0
46,0,1
47,0,1
49,0,1
47,1,0
29,0,1
31,0,1
31,0,1
27,1,0
21,1,0
28,1,0
27,0,1
35,0,1
33,1,0
30,0,1
26,1,0
27,1,0
27,1,0
33,1,0
35,0,1
30,0,1
28,1,0
23,0,1
25,0,1
27,1,0
30,0,1
31,1,0
24,1,0
18,1,0
29,1,0
35,1,0
27,1,0
24,1,0
23,1,0
28,0,1
22,0,1
32,1,0
27,0,1
25,0,1
23,1,0
32,0,1
59,1,0
24,0,1
24,0,1
23,1,0
22,1,0
31,1,0
25,0,1
24,1,0
20,1,0
33,1,0
32,0,1
34,0,1
18,0,1
22,1,0
28,1,0
26,1,0
30,0,1
39,0,1
20,0,1
35,0,1
30,1,0
31,1,0
24,0,1
28,1,0
26,0,1
35,0,1
22,0,1
30,1,0
26,0,1
29,1,0
29,1,0
35,1,0
35,1,0
28,0,1
35,0,1
28,1,0
27,0,1
28,0,1
32,1,0
33,1,0
19,1,0
21,0,1
26,1,0
27,0,1
26,0,1
38,1,0
39,1,0
37,1,0
38,0,1
37,0,1
42,0,1
40,0,1
35,0,1
36,0,1
40,0,1
41,0,1
36,1,0
37,0,1
40,1,0
35,0,1
41,1,0
39,1,0
42,0,1
26,0,1
30,0,1
26,1,0
31,0,1
33,0,1
30,0,1
21,1,0
28,1,0
23,0,1
20,1,0
30,0,1
28,1,0
19,0,1
19,0,1
18,1,0
35,0,1
30,0,1
34,1,0
24,1,0
27,1,0
41,1,0
29,0,1
20,0,1
26,1,0
41,0,1
31,0,1
36,1,0
40,0,1
31,1,0
46,0,1
29,0,1
26,0,1
32,1,0
32,0,1
25,0,1
37,1,0
35,0,1
33,1,0
18,1,0
22,1,0
35,1,0
29,0,1
29,1,0
21,0,1
34,0,1
26,1,0
34,1,0
34,1,0
23,1,0
35,1,0
25,0,1
24,0,1
31,1,0
26,0,1
31,1,0
32,1,0
33,0,1
33,1,0
31,0,1
20,1,0
33,1,0
35,0,1
28,0,1
24,0,1
19,1,0
29,0,1
19,0,1
28,0,1
34,0,1
30,1,0
20,1,0
26,0,1
35,0,1
35,0,1
49,0,1
39,1,0
41,1,0
58,1,0
47,1,0
55,1,0
52,1,0
40,1,0
46,1,0
48,1,0
52,0,1
59,1,0
35,0,1
47,0,1
60,1,0
49,0,1
40,0,1
46,1,0
59,0,1
41,1,0
35,0,1
37,0,1
60,0,1
35,1,0
37,0,1
36,1,0
56,0,1
40,1,0
42,1,0
35,1,0
39,0,1
40,0,1
49,0,1
38,1,0
46,0,1
40,0,1
37,1,0
46,1,0
53,1,0
42,0,1
38,0,1
50,1,0
56,1,0
41,1,0
51,1,0
35,1,0
57,1,0
41,0,1
35,1,0
44,1,0
37,0,1
48,1,0
37,1,0
50,1,0
52,1,0
41,1,0
40,0,1
58,1,0
45,1,0
35,1,0
36,0,1
55,1,0
35,1,0
48,0,1
42,1,0
40,0,1
37,0,1
47,1,0
40,0,1
43,1,0
59,1,0
60,0,1
39,0,1
57,1,0
57,0,1
38,0,1
49,0,1
52,1,0
50,1,0
59,1,0
35,0,1
37,0,1
52,1,0
48,0,1
37,1,0
37,1,0
48,1,0
41,0,1
37,1,0
39,0,1
49,0,1
55,0,1
37,0,1
35,1,0
36,1,0
42,0,1
43,1,0
45,0,1
46,0,1
58,1,0
48,0,1
37,1,0
37,0,1
40,1,0
42,0,1
51,1,0
47,1,0
36,0,1
38,1,0
42,1,0
39,0,1
38,1,0
49,1,0
39,1,0
39,1,0
54,1,0
35,0,1
45,0,1
36,0,1
52,1,0
53,1,0
41,0,1
48,1,0
48,1,0
41,1,0
41,0,1
42,1,0
36,0,1
47,1,0
38,0,1
48,1,0
42,0,1
40,0,1
57,0,1
36,1,0
58,0,1
35,0,1
38,1,0
39,0,1
53,1,0
35,0,1
38,1,0
47,1,0
47,0,1
41,1,0
53,0,1
54,1,0
39,0,1
38,0,1
38,1,0
37,0,1
42,1,0
37,1,0
36,0,1
60,0,1
54,0,1
41,1,0
40,0,1
42,0,1
43,0,1
53,1,0
47,1,0
42,1,0
42,0,1
59,1,0
58,1,0
46,0,1
38,0,1
54,1,0
60,1,0
60,0,1
39,1,0
59,0,1
37,1,0
46,1,0
46,1,0
42,1,0
41,0,1
58,1,0
42,0,1
48,0,1
44,1,0
49,0,1
57,1,0
56,0,1
49,1,0
39,0,1
47,0,1
48,1,0
48,0,1
47,0,1
45,1,0
60,0,1
39,1,0
46,1,0
51,0,1
50,1,0
36,0,1
49,1,0
